cohort_month,cohort_year_month,cohort_year,cohort_quarter,agency_code,agency_name,complaint_type,descriptor,complaint_type_owning_agency,complaint_type_version,complaint_type_version_is_current,borough,is_cohort_mature,request_volume,closed_volume,on_time_denominator,backlog_open_count,closure_rate,closure_rate_at_maturity,mean_days_to_close,median_days_to_close,mean_days_to_close_matured,unresolved_share_at_maturity,on_time_rate,days_to_close_total,days_to_close_matured_total,closed_within_window_volume,on_time_numerator
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Airline,DCWP,1,false,QUEENS,true,1,1,1,0,1.0,1.0,0.982037,0.982037,0.982037,0.0,1.0,0.982037,0.982037,1.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Auction House or Auctioneer,DCWP,1,false,BROOKLYN,true,1,1,1,0,1.0,1.0,1.368634,1.368634,1.368634,0.0,1.0,1.368634,1.368634,1.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",DCWP,1,true,BRONX,true,2,2,2,0,1.0,1.0,30.536777,30.536777,30.536777,0.0,0.0,61.073553,61.073553,2.0,0.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",DCWP,1,true,BROOKLYN,true,8,8,8,0,1.0,1.0,6.27844,0.901071,6.27844,0.0,0.875,50.227523,50.227523,8.0,7.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",DCWP,1,true,MANHATTAN,true,6,6,6,0,1.0,1.0,19.937101,1.221019,19.937101,0.0,0.666667,119.622604,119.622604,6.0,4.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",DCWP,1,true,QUEENS,true,7,7,7,0,1.0,1.0,17.657288,26.346921,17.657288,0.0,0.571429,123.601019,123.601019,7.0,4.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",DCWP,1,true,STATEN ISLAND,true,2,2,2,0,1.0,1.0,1.773663,1.773663,1.773663,0.0,1.0,3.547326,3.547326,2.0,2.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",DCWP,1,true,BRONX,true,20,20,20,0,1.0,1.0,7.885528,1.592598,7.885528,0.0,0.85,157.710556,157.710556,20.0,17.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",DCWP,1,true,BROOKLYN,true,31,31,31,0,1.0,0.967742,18.651684,10.053843,16.22858,0.032258,0.645161,578.202199,486.857396,30.0,20.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",DCWP,1,true,MANHATTAN,true,29,29,29,0,1.0,0.965517,9.685269,3.000683,6.784466,0.034483,0.862069,280.872789,189.965058,28.0,25.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",DCWP,1,true,QUEENS,true,18,18,18,0,1.0,1.0,11.485743,2.872581,11.485743,0.0,0.833333,206.743368,206.743368,18.0,15.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",DCWP,1,true,STATEN ISLAND,true,2,2,2,0,1.0,1.0,59.967865,59.967865,59.967865,0.0,0.0,119.935729,119.935729,2.0,0.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Booting Company,DCWP,1,true,BRONX,true,2,2,2,0,1.0,1.0,16.283756,16.283756,16.283756,0.0,0.5,32.567512,32.567512,2.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Booting Company,DCWP,1,true,BROOKLYN,true,5,5,5,0,1.0,1.0,37.001597,31.616204,37.001597,0.0,0.2,185.007986,185.007986,5.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Booting Company,DCWP,1,true,MANHATTAN,true,1,1,1,0,1.0,1.0,31.03309,31.03309,31.03309,0.0,0.0,31.03309,31.03309,1.0,0.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Booting Company,DCWP,1,true,QUEENS,true,3,3,3,0,1.0,0.666667,48.989865,30.489595,15.673281,0.333333,0.333333,146.969595,31.346563,2.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Rental,DCWP,1,true,BRONX,true,2,2,2,0,1.0,1.0,15.636267,15.636267,15.636267,0.0,0.5,31.272535,31.272535,2.0,1.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Rental,DCWP,1,true,BROOKLYN,true,4,4,4,0,1.0,0.75,47.494456,33.157986,32.92299,0.25,0.0,189.977824,98.76897,3.0,0.0
2025-09-01,2025-09,2025,3,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Rental,DCWP,1,true,MANHATTAN,true,1,1,1,0,1.0,1.0,6.011157,6.011157,6.011157,0.0,1.0,6.011157,6.011157,1.0,1.0
